c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
6	500	2	7	3	6	100	1	2	5	4	8	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	145	184	10	464	527	5	1	0	300	
1	145	184	10	569	624	5	2	0	300	
1	145	184	10	471	519	5	3	1	300	
1	145	184	10	369	422	5	4	0	300	
2	126	229	10	701	769	5	1	1	300	
2	126	229	10	468	542	5	2	1	300	
2	126	229	10	635	698	5	3	0	300	
2	126	229	10	698	776	5	4	0	300	
3	257	243	10	661	731	5	1	1	300	
3	257	243	10	116	156	5	2	1	300	
3	257	243	10	1200	1260	5	3	1	300	
3	257	243	10	174	222	5	4	1	300	
4	74	109	40	238	294	5	1	0	300	
4	74	109	40	874	927	5	2	1	300	
4	74	109	40	118	175	5	3	1	300	
4	74	109	40	669	755	5	4	1	300	
5	10	147	40	0	1496	5	1	1	0	
5	10	147	40	0	1496	5	2	1	0	
5	10	147	40	0	1496	5	3	1	0	
5	10	147	40	0	1496	5	4	1	0	
6	119	262	30	0	1496	5	1	1	0	
6	119	262	30	0	1496	5	2	1	0	
6	119	262	30	0	1496	5	3	1	0	
6	119	262	30	0	1496	5	4	1	0	
7	149	285	20	0	1496	5	1	1	0	
7	149	285	20	0	1496	5	2	1	0	
7	149	285	20	0	1496	5	3	1	0	
7	149	285	20	0	1496	5	4	1	0	
8	114	164	60	0	1496	5	1	1	0	
8	114	164	60	0	1496	5	2	1	0	
8	114	164	60	0	1496	5	3	1	0	
8	114	164	60	0	1496	5	4	1	0	
9	87	27	60	0	1496	5	1	1	0	
9	87	27	60	0	1496	5	2	1	0	
9	87	27	60	0	1496	5	3	1	0	
9	87	27	60	0	1496	5	4	1	0	
10	86	230	70	0	1496	5	1	1	0	
10	86	230	70	0	1496	5	2	1	0	
10	86	230	70	0	1496	5	3	1	0	
10	86	230	70	0	1496	5	4	1	0	
11	151	294	40	0	1496	5	1	1	0	
11	151	294	40	0	1496	5	2	1	0	
11	151	294	40	0	1496	5	3	1	0	
11	151	294	40	0	1496	5	4	1	0	
12	114	156	70	0	1496	5	1	1	0	
12	114	156	70	0	1496	5	2	1	0	
12	114	156	70	0	1496	5	3	1	0	
12	114	156	70	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
